B365H,B365D,B365A,FTHG,FTAG
1.45,4.2,7.5,1,2
1.67,3.6,5.25,1,0
2.5,3.4,2.7,2,0
2.1,3.5,3.25,2,1
1.4,4.75,7,2,0
2.15,3.7,3.4,4,1
2.8,3.4,2.7,1,4
3,3.6,2.4,0,6
2.2,3.6,3.4,3,0
3.1,3.5,2.4,1,2
2.75,3.6,2.63,0,1
3.5,3.4,2.25,1,2
2.6,3.5,2.8,1,1
4.5,3.8,1.85,0,1
2.15,3.6,3.5,0,1
3.2,3.6,2.3,3,1
2.4,3.75,2.9,1,0
2.6,3.5,2.8,2,2
3,3.5,2.45,0,1
4.75,3.75,1.83,1,0
1.45,5,7.5,0,1
3.6,3.5,2.15,1,1
1.8,3.8,4.75,2,0
1.95,3.75,4.2,2,0
2.6,3.5,2.8,1,1
1.53,4.5,6.5,3,0
3.2,3.4,2.4,3,1
1.5,4.5,7.5,1,1
1.91,3.8,4.2,2,1
1.75,3.9,5,1,1
2.55,3.5,2.9,2,1
8.5,4.5,1.45,1,1
2.3,3.5,3.25,1,1
2.7,3.5,2.7,1,1
1.73,3.75,5.5,2,2
1.95,3.6,4.2,1,1
2.6,3.6,2.75,4,0
2.63,3.75,2.63,1,1
1.75,3.75,5.25,0,1
2.1,3.5,3.79,3,0
4.2,3.75,1.9,1,3
2.29,3.6,3.2,0,1
1.9,3.6,4.5,0,3
2.6,3.6,2.75,1,2
2.29,3.5,3.25,4,4
2.79,3.5,2.6,3,3
2.37,3.7,3,1,0
2.29,3.75,3.1,2,1
2.1,3.6,3.75,1,0
2.1,3.6,3.7,1,0
2.25,3.5,3.39,2,1
2,3.7,3.89,2,0
2.89,3.5,2.54,0,1
1.95,3.6,4.2,1,0
2.7,3.39,2.75,2,0
2.95,3.5,2.5,1,0
2.75,3.39,2.7,2,3
2.39,3.6,3,1,0
3.6,3.5,2.14,1,1
2.25,3.39,3.5,0,1
1.53,4.5,6.5,1,3
2.39,3.5,3.1,0,1
1.85,3.6,4.75,0,0
1.8,3.6,5.25,2,2
3.1,3.5,2.37,2,3
1.6,4.33,6,0,1
2.29,3.6,3.25,1,1
2.62,3.6,2.7,1,1
2.6,3.6,2.75,1,0
1.85,3.89,4.33,1,2
2.14,3.79,3.39,1,0
2.5,3.6,2.89,2,2
2.2,3.39,3.6,1,3
4,3.6,2,0,3
1.9,3.6,4.5,2,2
2.79,3.39,2.7,0,0
3.29,3.39,2.29,0,3
2.62,3.5,2.79,3,1
2.1,3.75,3.5,0,1
3.1,3.5,2.39,0,4
1.95,3.5,4.33,1,0
2.25,3.5,3.39,1,2
2.04,3.5,4,0,1
1.66,4,5.75,1,2
1.85,3.75,4.5,1,1
2.25,3.5,3.39,1,2
3.5,3.39,2.25,1,0
1.95,3.6,4.2,2,1
2.6,3.5,2.79,1,1
2.35,3.39,3.29,0,0
3.6,3.5,2.14,2,4
2.5,3.6,2.87,2,1
2.7,3.39,2.75,2,0
2.39,3.29,3.25,4,2
1.72,3.75,5.5,3,0
2.1,3.5,3.75,1,2
1.75,4.33,4.5,2,1
1.85,3.5,5,2,1
2.5,3.39,3,0,0
3,3.6,2.39,0,0
2.6,3.6,2.75,0,0
1.57,4.33,6.5,1,0
2.39,3.75,2.89,2,0
3.6,3.75,2.1,1,3
2.39,3.5,3.1,2,0
2.5,3.39,3,0,1
2.14,3.75,3.39,1,1
4.2,3.5,2,2,4
2.04,3.79,3.6,2,2
2.5,3.6,2.87,2,1
2.2,3.5,3.5,2,0
2.6,3.5,2.79,1,2
1.95,3.6,4.2,4,3
2.37,3.5,3.1,3,0
2.45,3.39,3.1,0,1
2.89,3.29,2.62,1,1
2,3.6,4,5,1
2.62,3.5,2.79,1,0
3.39,3.6,2.2,2,3
2.37,3.39,3.2,2,1
3,3.29,2.54,1,0
1.5,4.2,8,2,0
4.5,3.6,1.9,0,4
1.8,3.75,5,2,0
2.14,3.6,3.5,1,1
3.39,3.6,2.2,4,1
2.89,3.39,2.6,2,1
1.72,3.79,5.5,1,0
2.1,3.75,3.5,0,0
1.64,4.2,5.5,1,1
1.9,3.7,4.33,2,2
2.04,3.39,4.09,1,0
2.6,3.39,2.87,1,2
2.75,3.39,2.7,2,3
1.95,3.5,4.33,0,2
3.1,3.29,2.5,2,1
2.37,3.5,3.1,0,1
2.2,3.6,3.39,1,1
5,4,1.72,1,1
4.33,3.7,1.9,0,7
1.8,3.79,4.75,3,0
3.39,3.6,2.2,4,1
2,3.5,4.2,1,1
1.95,3.6,4.2,2,1
2.25,3.6,3.29,3,1
2.79,3.1,2.87,2,0
1.72,4,5,2,0
2.64,3.39,2.79,2,3
2.04,3.79,3.6,1,3
3.29,3.6,2.25,0,3
1.75,3.75,5.25,3,0
2.62,3.5,2.79,1,1
1.95,3.6,4.2,0,1
2.14,3.5,3.6,1,2
1.9,3.39,4.75,2,1
2.5,3.6,2.87,3,1
2.7,3.5,2.7,0,0
1.61,4,6.25,0,0
2.1,3.39,4,2,0
1.44,4.75,8.5,0,0
1.75,4,5,2,2
1.8,3.75,5,2,2
1.75,4,5,3,2
2.79,3.39,2.7,0,2
2.75,3.39,2.75,2,2
2.87,3.6,2.5,1,0
2.39,3.6,3,1,1
1.57,4.2,6.5,3,1
2.6,3.25,3,1,2
2.79,3.5,2.6,1,2
2.45,3.39,3.1,2,0
2.87,3.39,2.6,2,1
1.85,3.79,4.5,1,2
2.75,3.39,2.75,1,2
7.5,4.5,1.5,0,1
2.6,3.5,2.79,3,1
2.37,3.6,3.1,1,1
2.87,3.39,2.62,1,0
2.29,3.29,3.5,1,2
3.25,3.5,2.29,1,1
1.9,3.6,4.5,1,0
2.1,3.5,3.75,1,0
2.2,3.7,3.29,1,0
3.1,3.5,2.37,3,1
2.87,3.39,2.62,1,0
2.45,3.5,3,3,0
1.8,3.5,5.5,3,1
2.14,3.6,3.5,0,0
1.6,4,6.5,1,2
2.87,3.39,2.62,0,1
1.72,3.79,5.5,1,1
2.89,3.39,2.6,2,1
2.54,3.29,3,0,0
2.87,3.6,2.5,1,1
2.04,3.29,4.2,1,1
2.39,3.39,3.2,1,2
2.25,3.39,3.5,2,1
1.5,4.75,7,0,0
2.37,3.29,3.29,2,0
2.45,3.5,3,3,1
1.95,3.5,4.33,3,1
4.33,3.5,1.95,1,2
2.62,3.5,2.79,2,1
2.1,3.7,3.6,1,2
2.14,3.7,3.39,3,0
6,4.2,1.61,1,3
2.39,3.6,3,1,0
1.85,3.75,4.5,1,3
2.54,3.25,3.1,2,2
2.04,3.75,3.7,2,0
2.54,3.29,3,1,1
1.39,5,9,1,1
2.37,3.29,3.29,0,4
2.39,3.39,3.2,1,3
2.6,3.29,3,2,1
2,3.7,4,1,2
2.29,3.29,3.5,0,1
2.89,3.39,2.6,3,2
1.44,4.5,8.5,3,1
2.45,3.39,3.1,1,2
2.89,3.39,2.6,1,1
1.9,3.6,4.5,2,3
2.79,3.39,2.7,2,3
2.7,3.39,2.75,0,1
2.54,3.39,2.89,2,1
2.1,3.75,3.5,0,1
4.75,3.79,1.8,2,0
2.2,3.29,3.75,2,2
2.1,3.5,3.79,2,0
2.62,3.29,2.89,1,0
1.36,5.25,10,2,0
3,3.2,2.62,2,1
1.95,3.5,3.79,1,3
1.53,4,6,2,2
1.95,3.5,3.79,2,2
1.9,3.6,3.75,2,2
2.39,3.39,2.79,1,1
2.87,3.6,2.25,1,1
3.75,3.25,2.04,1,2
2.6,3.39,2.6,1,2
2.62,3.39,2.6,1,2
1.7,3.5,5.25,1,2
5.5,3.79,1.61,3,1
2.14,3.5,3.6,3,2
2.54,3.29,3,0,0
2.1,3.5,3.75,1,1
3,3.1,2.7,1,2
2.37,3.39,3.2,1,2
2,3.6,4,1,0
2.25,3.6,3.25,2,2
2.39,3.29,3.25,4,2
3.1,3.29,2.5,1,2
1.64,4.09,5.75,3,1
2.79,3.29,2.75,4,2
1.53,4.09,7.5,0,2
2.6,3.39,2.89,1,0
2.04,3.29,4.33,3,0
2.39,3.39,3.2,0,0
3.5,3.39,2.25,1,2
2.62,3.5,2.79,0,1
1.8,3.79,4.75,2,2
2.62,3.29,2.89,0,1
2.87,3.5,2.54,3,1
2.5,3.39,3,1,1
1.55,4.5,6.5,2,0
3,3.2,2.62,1,2
2,3.39,4.33,1,1
2,3.6,4,0,0
2.5,3.6,2.87,1,1
2.37,3.39,3.2,2,1
2.29,3.39,3.39,0,2
2.37,3.39,3.2,1,1
2.45,3.5,3,0,0
2,3.79,3.79,1,1
2.5,3.6,2.89,1,0
2,3.6,4,0,2
1.83,3.89,4.5,2,1
5,3.6,1.83,1,2
1.44,4.75,8,1,0
4.33,3.39,2,0,3
1.83,3.79,4.59,2,1
2.79,3.39,2.7,0,1
2,3.6,4,0,2
2.04,3.5,4,0,3
2.64,3.29,2.87,2,2
2.89,3.29,2.62,0,3
2.04,3.5,4,2,1
1.75,4,5,3,0
1.85,3.75,4.5,1,1
2.5,3.39,3,2,2
2.62,3.39,2.87,1,1
2.37,3.6,3.1,4,1
1.83,3.6,5,1,3
1.85,3.75,4.5,0,1
1.85,3.6,4.75,2,0
2.29,3.5,3.29,0,0
1.61,4,6.5,3,3
2.2,3.25,3.25,1,0
2.7,3.5,2.7,0,1
3.89,3.39,2.1,3,2
2.1,3.5,3.75,0,0
4.75,3.6,1.85,0,1
2.2,3.39,3.6,1,1
2.14,3.39,3.79,0,0
2.6,3.39,2.89,2,1
4.2,3.6,1.95,0,3
2.7,3.39,2.75,0,2
2.89,3.6,2.5,2,1
2.39,3.5,3.1,3,2
2,3.5,4.2,1,1
2.5,3.25,3.2,1,2
2.37,3.25,3,2,0
4.5,3.25,2,1,1
1.9,3.39,4.75,0,2
5.5,3.89,1.7,0,3
2.1,3.39,3.89,1,0
5.25,3.89,1.72,0,2
2.25,3.5,3.39,2,0
2,3.5,4.2,2,0
2.87,3.39,2.62,0,0
2.1,3.75,3.5,1,1
2.45,3.5,3,1,1
1.95,3.39,4.5,1,0
3.39,3.5,2.25,2,0
1.85,3.6,4.75,3,0
1.53,4.33,7,2,0
2.29,3.39,3.39,1,2
2.37,3.29,3.29,0,1
2.29,3.39,3.39,1,2
2,3.6,4,2,1
3.2,3.39,2.37,0,4
2.62,3.39,2.87,1,1
2.45,3.39,3.1,4,0
2.54,3.2,3.1,3,1
1.9,3.75,4.2,1,1
1.39,5,9,3,0
3.2,3.39,2.39,0,1
2.62,3.6,2.75,3,1
2.39,3.5,3.1,2,0
5,3.75,1.8,1,2
2.29,3.5,3.25,2,1
1.8,4,4.5,2,0
4.33,3.39,2,2,1
1.85,3.6,4.75,3,2
2.14,3.39,3.75,4,0
3.6,3.29,2.25,0,2
3.2,3.29,2.45,1,1
1.5,4.33,8,1,0
2.2,3.29,3.7,5,0
2.87,3.25,2.7,1,1
2.87,3.25,2.7,0,0
2.5,3.39,3,0,0
2.79,3.5,2.62,2,1
2.62,3.2,3,3,3
1.75,3.7,5.5,3,2
2.37,3.39,3.2,1,0
1.36,5.25,10,5,1
3.39,3.39,2.29,1,0
1.72,3.75,5.5,3,0
6,4,1.64,0,0
2.54,3.29,3,0,1
4.5,3.39,1.95,1,4
2,3.6,4,1,1
3.2,3.6,2.29,0,0
1.9,3.6,4.5,2,1
4.2,3.6,1.95,1,1
2,3.6,4,2,3
2.25,3.5,3.39,0,1
2.79,3.39,2.7,1,2
1.8,3.79,4.75,1,1
2.54,3.5,2.87,2,0
2.6,3.6,2.75,0,1
2.79,3.39,2.7,0,0
2.62,3.29,2.89,2,3
1.7,4,5.25,0,0
3.25,3.29,2.39,3,1
1.53,4.33,7,3,3
3.7,3.39,2.14,0,1
2,3.5,4.2,0,0
2.2,3.39,3.6,0,2
1.3,5.5,13,1,0
1.5,4,7,3,1
2.1,3.29,4,2,2
2.14,3.5,3.6,0,1
9,4,1.5,0,4
3.25,3.39,2.37,0,3
3.39,3.5,2.25,2,0
2.04,3.6,3.79,0,1
1.7,3.89,5.5,1,1
1.72,4,5,2,0
1.61,4.2,6,1,0
1.44,4.5,9,1,1
2.14,3.6,3.5,4,0
2.29,3.75,3.1,2,0
6.5,4.2,1.57,1,1
5.25,4,1.7,0,1
1.9,3.89,4,0,3
1.9,3.6,4.5,1,1
2.45,3.39,3.1,3,1
2.14,3.39,3.75,1,1
2.37,3.5,3.1,0,2
2.04,3.5,4,1,1
4.09,3.5,2,1,0
2.79,3.6,2.54,1,0
3.79,3.6,2.04,0,2
2.1,3.6,3.7,0,0
3,3.39,2.5,2,1
1.85,3.79,4.5,2,0
2.7,3.6,2.62,2,1
2.25,3.5,3.39,1,0
1.53,4.33,7,1,1
2.45,3.25,3.2,1,1
2.62,3.2,3,0,0
1.9,3.7,4.33,2,0
1.8,3.79,4.75,2,2
1.36,5.25,10,2,1
5.25,3.89,1.72,0,1
2.29,3.5,3.29,2,0
3,3.5,2.45,5,2
4,3.6,2,2,2
1.95,3.75,4,2,0
2.1,3.79,3.5,1,0
2.5,3.6,2.87,1,0
1.85,3.75,4.5,1,1
1.8,4,4.5,0,1
2.29,3.6,3.2,0,0
2.9,3.3,2.63,1,0
1.73,3.75,5.5,0,0
3,3.4,2.5,2,0
1.67,3.8,6,3,0
2.3,3.4,3.4,1,1
2,3.5,4.2,1,1
2.6,3.4,2.9,2,3
2.25,3.4,3.5,3,1
2.88,3.4,2.63,0,1
2.5,3.4,3,1,3
2.9,3.4,2.6,1,0
2.15,3.5,3.6,3,1
2.5,3.4,3,1,2
2.25,3.4,3.5,1,1
2.3,3.5,3.3,3,1
2.15,3.4,3.75,0,0
2.8,3.3,2.75,2,2
2.15,3.4,3.75,2,1
3.3,3.3,2.4,2,2
3,3.25,2.6,0,0
2.63,3.3,2.9,0,1
2.3,3.4,3.4,2,0
1.8,3.75,5,1,1
2.5,3.4,3,2,1
2.8,3.3,2.75,1,2
2.05,3.5,4,3,0
2.45,3.4,3.1,2,0
2.45,3.3,3.2,0,0
1.85,3.8,4.5,1,1
2.75,3.4,2.75,1,2
2.8,3.25,2.8,0,0
2.9,3.6,2.5,5,1
2.6,3.5,2.8,1,0
1.65,4,6,0,3
2.4,3.4,3.2,1,2
2.6,3.4,2.9,2,0
2.15,3.4,3.8,2,1
1.85,3.6,4.75,3,1
2.1,3.5,3.75,0,1
2.2,3.4,3.6,2,1
2.15,3.5,3.6,0,0
2.7,3.25,2.88,2,1
2.2,3.4,3.6,0,1
2.25,3.4,3.5,5,0
2.75,3.25,2.8,2,1
2.7,3.4,2.8,1,1
2.7,3.3,2.88,1,0
2.63,3.4,2.88,1,2
1.73,3.75,4.5,1,1
2.4,3.1,3.1,1,1
3,3.6,2.2,1,3
2.4,3.4,2.8,1,1
2.3,3.5,2.88,0,2
3,3.4,2.3,3,1
2.3,3.5,2.9,1,1
1.95,3.5,3.75,2,1
2.75,3.3,2.5,2,3
2.4,3.4,2.8,0,2
2.15,3.4,3.3,3,3
2.38,3.4,3.2,2,1
1.73,3.8,5.5,1,1
2.3,3.5,3.3,4,1
2.2,3.4,3.6,2,0
2.2,3.4,3.6,1,1
2.3,3.4,3.4,2,3
2.3,3.4,3.4,1,0
1.85,3.6,4.75,2,2
2.45,3.4,3.1,1,2
2.4,3.5,3.1,3,2
3,3.4,2.5,2,3
2.1,3.5,3.8,1,1
2.6,3.4,2.9,2,2
2,3.5,4.2,2,1
2.9,3.3,2.63,2,2
2.88,3.4,2.63,1,1
1.65,4,6,1,1
2.2,3.5,3.5,2,0
2.63,3.4,2.88,0,0
1.95,3.6,4.2,2,0
1.91,3.75,4.2,2,2
1.67,4.2,5.25,4,0
2.15,3.5,3.6,1,1
1.85,3.75,4.5,1,1
2,3.75,3.8,1,2
2.3,3.5,3.25,3,1
2.25,3.3,3.6,0,0
2.15,3.6,3.6,0,0
2.6,3.5,2.8,2,1
2.45,3.4,3.1,2,1
2.2,3.6,3.4,1,0
3.4,3.75,2.15,0,1
4.33,3.75,1.91,3,1
2.75,3.4,2.7,1,2
3.5,3.4,2.25,1,0
1.95,3.6,4.2,0,0
2.88,3.5,2.55,1,2
2.15,3.6,3.5,1,1
2.5,3.3,3.1,0,0
2,3.6,4,2,1
2.15,3.6,3.5,2,1
2.8,3.5,2.6,1,4
2.3,3.6,3.2,2,1
1.95,3.6,4.2,2,3
1.95,3.5,4.33,4,0
2.15,3.5,3.6,0,2
2.5,3.4,3,1,1
1.83,4,4.33,1,1
2.5,3.6,2.88,2,2
1.75,3.75,5.25,2,1
1.8,3.6,5.25,1,1
2.5,3.6,2.9,3,3
2,3.75,3.8,1,3
3.3,3.6,2.25,3,1
2.7,3.4,2.8,1,0
1.91,3.75,4.33,1,0
3.3,3.6,2.25,1,1
3.1,3.4,2.45,2,1
2.7,3.4,2.75,1,3
3.6,3.5,2.15,1,4
2.3,3.4,3.4,2,2
2.3,3.4,3.4,2,0
2,3.6,4,0,2
2.9,3.3,2.63,1,2
2.15,3.4,3.75,0,1
3.4,3.4,2.3,0,1
3.3,3.3,2.38,1,1
2.38,3.4,3.2,2,3
3.4,3.5,2.25,0,2
2.25,3.6,3.3,0,2
2.7,3.4,2.8,1,1
3.3,3.75,2.2,1,1
3.7,3.6,2.1,2,1
1.57,4.2,6.5,2,0
2.05,3.5,4,1,2
2,3.9,3.7,3,1
2,3.6,4,3,0
1.8,3.75,5,1,1
2.88,3.5,2.55,0,1
1.8,3.8,4.75,0,1
2.05,3.6,3.8,1,3
2.05,3.7,3.7,0,0
1.8,3.6,5.25,2,0
2.05,3.5,3.9,2,1
2.2,3.4,3.6,3,0
2.8,3.5,2.6,2,0
2.75,3.4,2.7,1,3
3.2,3.25,2.5,1,0
2.2,3.4,3.6,2,0
2.38,3.6,3.1,2,1
1.67,3.8,6,4,0
2.25,3.6,3.25,1,0
2.3,3.6,3.2,3,2
1.57,4.2,6.5,1,1
2.45,3.4,3.1,1,2
2.75,3.4,2.7,0,1
2.75,3.4,2.7,2,1
2.3,3.5,3.25,1,1
2.1,3.5,3.75,0,2
2.15,3.6,3.6,3,3
3.5,3.4,2.25,2,0
2,3.8,3.8,3,0
3.2,3.4,2.38,1,1
4.5,3.75,1.85,0,3
3.2,3.4,2.4,3,0
2.75,3.2,2.88,3,3
3.5,3.5,2.2,0,3
2.63,3.3,2.9,2,0
3.1,3.5,2.4,1,1
1.85,3.75,4.5,2,1
1.75,4,5,0,3
3.1,3.3,2.5,0,2
1.91,4,4,0,1
3.1,3.5,2.4,2,2
2.9,3.4,2.6,2,4
2.4,3.5,3.1,0,2
2.88,3.4,2.38,0,2
2.8,3.4,2.7,2,3
1.65,3.9,6,3,1
2.4,3.6,3,1,2
1.75,3.9,5,1,0
2.2,3.6,3.4,2,1
2.3,3.6,3.2,3,2
2.75,3.4,2.7,1,2
2,3.4,4.33,1,0
1.73,4,5,4,1
1.91,4,4,2,1
1.95,3.75,4,1,1
2.75,3.3,2.8,1,1
1.95,3.6,4.2,2,1
1.8,3.8,4.75,2,0
2.2,3.4,3.6,4,0
2.3,3.5,3.25,1,4
3.1,3.5,2.4,0,1
2.75,3.4,2.75,2,1
2.2,3.6,3.4,4,0
1.83,3.8,4.6,1,1
3,3.3,2.55,0,0
2.9,3.4,2.6,2,1
3.75,3.6,2.1,2,0
3.6,3.4,2.2,3,0
5.25,4,1.7,1,4
3,3.5,2.45,1,0
2.05,3.6,3.9,5,1
2.38,3.3,3.3,2,0
2.25,3.6,3.3,0,0
1.73,3.75,5.5,2,0
1.85,3.75,4.5,2,1
2.5,3.6,2.88,0,1
2.15,3.5,3.6,4,1
2.05,3.5,4,4,0
1.7,3.9,5.5,1,0
1.4,5.25,8,2,1
3.6,3.4,2.2,3,0
2.25,3.75,3.2,1,2
1.83,3.6,5,1,0
1.91,3.6,4.5,1,0
2.15,3.6,3.5,1,5
1.85,3.8,4.5,3,0
2,3.6,4,0,0
1.73,3.9,5.25,2,3
1.9,3.7,4.33,1,0
2.7,3.5,2.7,0,2
2.75,3.2,2.88,2,2
2.05,3.5,4,4,0
1.4,5,8.5,1,0
1.95,3.6,4.2,1,1
2.1,3.6,3.75,2,2
3.8,3.5,2.1,2,3
3.3,3.5,2.3,1,1
3.8,3.6,2.05,3,2
3,3.4,2.5,1,2
3,3.3,2.6,3,0
3.1,3.3,2.5,0,1
2,3.6,4,1,1
2.5,3.4,3,0,0
3.75,3.4,2.15,1,0
2.63,3.4,2.88,0,0
1.44,4.75,8,0,1
1.95,3.6,4.2,0,0
1.67,4.2,5.25,4,2
1.95,3.75,4,2,1
1.57,4.2,6.5,0,1
2.15,3.6,3.6,1,0
1.91,3.6,4.5,1,1
1.67,4.33,5.25,5,2
3.2,3.6,2.3,2,3
2.8,3.3,2.75,3,2
1.44,5,7.5,4,0
2.25,3.6,3.3,3,1
1.62,3.75,5.5,4,0
5.25,3.75,1.65,1,2
1.8,3.75,5,4,0
3.6,3.5,2.15,2,3
2.3,3.6,3.2,0,2
4.75,3.8,1.8,1,0
3.1,3.5,2.4,1,0
2.5,3.4,3,2,3
2.7,3.4,2.8,0,2
2.5,3.6,2.9,3,0
3.75,3.5,2.1,2,0
2.75,3.5,2.63,1,1
3.9,3.4,2.1,1,1
2.05,3.5,3.9,3,1
1.44,4.5,6.5,2,1
2.05,3.5,3.4,0,0
1.83,3.6,4.2,4,1
1.67,3.75,5,0,0
1.65,3.8,5,2,0
2.1,3.5,3.3,0,1
1.83,3.5,4.33,0,1
1.75,3.75,4.33,1,1
2.7,3.3,2.55,0,1
1.6,4,5.25,3,0
1.4,4.75,7,2,0
2.4,3.4,2.8,3,0
1.73,3.9,5.25,2,1
1.83,3.8,4.5,3,2
2.4,3.5,3.1,1,0
1.5,4.5,7.5,2,1
2.1,3.4,3.9,2,1
1.53,4.5,6.5,1,1
2.25,3.6,3.3,2,0
2,3.5,4.2,1,0
1.91,3.6,4.5,0,0
1.83,4,4.33,1,1
1.53,4.33,7,1,0
2.38,3.4,3.2,1,1
3,3.5,2.45,2,2
6,4.2,1.6,1,3
2.7,3.4,2.8,4,1
3.75,3.5,2.1,0,0
4.5,3.6,1.91,2,2
2.88,3.5,2.55,0,1
3.1,3.5,2.38,1,2
2.1,3.5,3.75,0,0
2.1,3.7,3.6,1,1
3.2,3.4,2.4,0,1
3.1,3.5,2.4,0,0
3.5,3.5,2.2,0,2
1.5,4.4,7.5,2,0
1.95,3.75,4,5,0
1.5,4.75,7,3,2
4.33,3.75,1.91,2,4
2.2,3.5,3.5,1,1
2.88,3.4,2.63,2,1
1.5,4.5,7.5,1,2
3.75,3.75,2.05,5,1
3,3.4,2.5,0,0
3,3.4,2.5,1,0
2.6,3.5,2.8,3,1
3.4,3.5,2.25,1,2
2.63,3.3,2.9,1,0
5,3.5,1.85,1,0
2.8,3.3,2.75,2,1
5.5,4.2,1.65,4,1
2.63,3.5,2.8,2,2
2.3,3.4,3.4,1,1
3.3,3.5,2.3,0,0
2.75,3.4,2.75,0,1
2,3.6,4,5,3
2.2,3.6,3.4,0,4
1.4,5.25,8.5,2,2
2.6,3.3,3,1,0
3.3,3.6,2.25,0,1
2.88,3.6,2.5,3,1
2.9,3.3,2.63,2,0
1.5,4.4,7.5,0,2
1.91,3.6,4.5,1,2
1.75,3.9,5,1,0
2.45,3.5,3,3,3
2.25,3.4,3.5,1,1
2.15,3.5,3.6,1,1
2.3,3.5,3.3,3,0
4,3.3,2.1,1,2
2.5,3.6,2.9,0,4
1.5,4.75,7,3,2
1.67,4,5.75,0,0
1.67,3.9,6,2,2
2.63,3.4,2.88,1,1
2.7,3.25,2.88,0,1
3.8,3.6,2.05,0,2
2.55,3.5,2.9,1,1
3.4,3.75,2.15,0,3
2.3,3.6,3.2,0,0
1.5,4.5,7.5,4,0
2.38,3.5,3.1,2,1
2.9,3.5,2.55,3,1
2.4,3.6,3,2,1
3.8,3.6,2.05,1,2
1.85,3.6,4.75,1,0
2.38,3.4,3.2,1,1
1.75,3.75,5.25,4,1
2.8,3.5,2.63,1,1
2.2,3.6,3.4,1,0
2.5,3.4,3,0,0
1.91,3.75,4.33,1,1
2,3.7,3.9,1,0
1.91,3.8,4.2,3,1
2.2,3.3,3.7,3,2
2.63,3.4,2.88,1,0
4.33,4,1.83,0,1
1.67,4,5.75,0,1
1.85,3.75,4.5,1,1
2.1,3.5,3.75,1,0
4,3.75,1.95,0,0
3.7,3.75,2.05,0,0
3,3.3,2.55,2,1
2,3.7,3.9,1,1
1.5,4.75,7,2,0
1.95,3.75,4,2,1
2.55,3.3,3,1,0
2.1,3.5,3.75,0,2
1.83,3.8,4.6,2,1
1.8,3.75,5,0,0
2.1,3,3.9,2,2
2.4,3.6,2.7,1,2
2.5,3.3,2.8,2,1
2.05,3.3,3.6,0,1
3.8,3.5,1.95,1,1
2.2,3.3,3.3,3,3
1.6,4,5.25,1,1
2.5,3.4,2.7,2,1
2,3.5,3.6,2,2
2.63,3.25,2.63,0,0
2.4,3.4,2.8,2,0
2.55,3.3,3,0,1
2.6,3.4,2.88,2,2
1.45,4.5,8.5,0,0
2.5,3.4,3,1,4
2.4,3.4,3.2,1,0
2.4,3.5,3.1,1,1
1.91,3.75,4.2,0,1
4.2,3.6,1.95,0,4
2.4,3.6,3,1,3
2.1,3.5,3.8,3,0
3.2,3.4,2.38,2,1
1.7,3.8,5.75,2,1
3.75,3.25,2.2,0,0
2.8,3.5,2.6,3,1
6,3.8,1.67,1,2
1.7,3.75,6,2,0
2.1,3.6,3.75,1,1
2.05,3.5,4,2,2
2.15,3.75,3.4,2,1
1.75,3.8,5.25,1,0
2.2,3.5,3.5,1,2
2,3.5,4.2,1,2
3,3.3,2.55,4,3
2.3,3.5,3.25,3,1
2.05,3.5,4,1,1
1.75,3.8,5.25,1,0
2.3,3.6,3.2,1,2
2.15,3.5,3.6,2,1
2.63,3.4,2.9,2,1
2.05,3.7,3.75,0,2
4.75,3.8,1.8,3,3
2.38,3.4,3.25,0,2
2.25,3.5,3.4,0,0
1.53,4.5,6.5,1,1
1.83,3.75,4.75,0,1
2.3,3.2,3.6,2,0
2.63,3.3,2.9,2,1
3.9,3.5,2.05,2,3
1.85,3.6,4.75,1,0
2.15,3.6,3.5,0,1
2.4,3.4,3.2,2,0
2.25,3.4,3.5,1,1
3,3.4,2.5,1,1
4.2,3.5,2,0,2
2.35,3.3,3.4,2,4
3.5,3.6,2.15,3,2
2.1,3.6,3.7,2,2
2.55,3.3,3,0,0
3,3.4,2.5,1,2
3.1,3.5,2.38,3,2
2.8,3.4,2.65,2,0
2.88,3.5,2.55,3,0
3.4,3.3,2.35,1,1
3.8,3.6,2.05,3,3
3.3,3.5,2.3,0,2
3.5,3.5,2.2,0,4
1.75,3.75,5.25,2,1
3.7,3.3,2.2,2,1
2.1,3.5,3.75,2,1
6.5,4,1.6,2,4
2.65,3.25,2.9,0,1
2.9,3.4,2.6,2,1
1.83,3.75,4.75,2,1
1.57,4.33,6.5,2,1
1.53,4.33,7,2,1
2.1,3.4,4,0,0
1.67,4,5.75,0,0
1.67,4,5.75,1,0
2.3,3.5,3.3,2,1
1.91,3.75,4.33,1,1
1.73,4,5,4,1
1.44,4.75,8,2,1
2.1,3.5,3.75,3,2
2.25,3.5,3.4,2,1
2.63,3.3,2.9,2,4
2.55,3.5,2.88,3,3
3,3.25,2.6,0,2
3.1,3.3,2.5,0,0
4.5,4,1.8,1,3
4,3.6,2,1,0
3.25,3.8,2.2,0,1
2.9,3.6,2.5,0,0
7,4.1,1.57,1,1
3.9,3.7,2,0,0
3.75,3.5,2.1,0,2
4,3.5,2.05,1,0
2.7,3.4,2.5,3,2
2.75,3.5,2.65,3,1
1.95,3.6,4.2,5,1
1.73,3.9,5.25,2,0
1.36,5.25,10,0,0
1.57,4,7,1,0
1.8,3.8,4.75,2,0
1.8,3.75,5,0,1
1.95,3.5,4.33,3,1
