B365H,B365D,B365A,FTHG,FTAG
2.25,3.3,3.3,3,1
6.5,4.75,1.44,1,2
1.36,5.25,8,2,2
2.55,3.1,2.9,1,0
1.7,3.75,5,1,1
3.3,3.3,2.25,1,1
3.25,3.5,2.15,2,0
4.33,3.75,1.8,2,3
2.4,3.3,3,0,2
1.33,5.25,9,1,2
3.3,3.3,2.25,1,2
2.05,3.5,3.5,1,3
1.5,4.6,6,3,1
15,7.5,1.16,1,3
1.2,6.5,14,0,1
1.85,3.4,4.5,1,1
3.8,3.3,2.05,1,1
1.36,4.75,9,2,2
2.15,3.3,3.5,1,0
1.7,4,4.75,3,1
1.08,10,26,4,0
2.5,3.25,2.87,1,1
1.85,3.9,3.9,2,0
9.5,5.5,1.3,0,3
2.2,3.25,3.5,3,2
2.37,3.6,2.8,2,2
1.14,8.5,17,3,1
2.15,3.3,3.5,1,1
1.95,3.5,4,1,0
2.45,3.2,3,0,1
1.36,5.25,8,4,0
2.9,3.3,2.5,2,5
15,9,1.14,3,2
2.9,3.5,2.4,3,1
3.6,3.6,2,2,2
2.62,3.5,2.6,0,0
2.05,3.6,3.5,1,3
2.87,3.5,2.37,2,1
2,3.8,3.5,2,0
1.61,3.75,6,0,2
1.1,11,21,8,0
2.5,3.2,3,0,0
2.62,3.1,2.87,1,1
3.1,3.6,2.2,2,0
1.4,4.75,8,3,2
3.5,3.75,2,1,2
9,5.25,1.33,0,1
2.3,3.4,3.1,2,2
2.5,3.5,2.75,2,2
1.4,4.75,8,2,0
1.9,3.75,3.75,2,0
1.4,4.75,8,2,1
1.85,3.4,4.5,2,0
10,5.5,1.3,1,3
1.5,4,7.5,5,0
2.37,3.5,2.9,1,1
3.9,3.6,1.9,3,0
2.87,3.3,2.5,1,0
1.44,4.75,7,2,1
2.37,3.6,2.8,1,5
2.05,3.4,3.6,0,0
1.95,3.6,3.8,1,2
1.44,4.75,7,1,0
1.12,9,21,0,2
4,3.8,1.85,1,4
4.5,3.5,1.85,1,0
1.95,3.75,3.75,2,0
2.35,3.4,3,2,1
1.72,4.2,4.2,0,0
1.3,5.5,10,1,0
1.57,4,6,2,1
1.4,5,7.5,1,1
1.8,3.6,4.5,1,1
12,7,1.22,0,2
5.25,3.8,1.65,1,1
3.9,3.75,1.9,1,0
3.1,3.4,2.3,0,9
1.08,11,26,3,0
2.9,3.25,2.5,3,2
2.15,3.6,3.25,0,0
2.1,3.5,3.5,1,1
4.5,4,1.72,2,4
3,3.1,2.55,1,1
1.45,4.75,6.5,2,2
1.5,4.33,6.5,2,1
4.33,4,1.75,1,3
3.25,3.6,2.15,1,0
1.75,3.75,4.75,1,1
9,5,1.33,1,2
1.72,4.2,4.33,2,0
1.07,13,23,2,1
2.25,3.2,3.4,3,0
1.75,3.8,4.5,2,3
5,4.33,1.61,1,2
3.5,3.4,2.1,0,2
2.7,3.4,2.6,1,1
2.7,3.5,2.55,0,2
1.33,5,10,2,0
2.25,3.5,3.1,3,0
2.55,3.25,2.8,2,1
2.9,3.3,2.45,1,2
1.57,4,6,1,1
2,3.75,3.5,2,0
1.6,3.75,6.5,3,1
1.9,3.5,4.2,2,1
2.5,3.6,2.62,3,1
4.2,4.33,1.7,2,3
1.45,4.75,6.5,2,2
2.75,3.3,2.6,1,2
3.75,3.5,2,0,2
7.5,4.75,1.4,1,2
1.36,5.1,8,0,2
2.3,3.4,3.1,0,3
1.44,5,6.5,2,1
3.5,3.4,2.1,3,3
2.05,3.4,3.7,2,0
13,8,1.16,2,2
2.25,3.25,3.3,0,2
1.28,6,9,0,1
1.18,7,15,2,1
1.36,5.5,7.5,3,2
2.1,3.4,3.5,2,1
4,4.33,1.75,2,2
1.9,3.5,4.2,1,1
1.61,4,5.25,2,1
1.45,4.5,7,2,2
2.2,3.4,3.25,1,0
11,7,1.22,1,4
1.28,5.75,10,2,1
1.33,5.5,8,2,0
2.75,3.4,2.55,2,1
1.72,4,4.2,2,1
1.75,3.7,4.75,2,0
1.36,5,8.5,5,2
1.83,3.4,4.6,0,2
1.57,4.33,5.5,1,2
3.5,3.75,2,3,1
7,5.25,1.4,0,3
1.4,4.75,8,5,0
2.37,3.3,3.1,0,0
1.3,5.5,10,1,2
4.33,3.8,1.8,1,4
2.5,3.2,2.9,2,1
2.9,3.5,2.37,1,2
2.62,3.1,2.87,2,2
3.3,4,2,1,3
1.16,7.5,17,2,0
1.95,3.4,4,1,0
1.25,6,12,0,1
1.22,6.5,13,1,1
1.85,3.75,4.2,2,0
1.9,3.8,3.8,0,1
1.8,3.7,4.5,1,1
3.25,3.4,2.25,1,2
6,5.25,1.44,0,3
2.55,3.25,2.87,1,1
2.3,3.8,2.87,0,0
2.4,3.6,2.8,1,3
2.4,3.4,2.9,0,1
2.2,3.25,3.5,0,1
2.37,3.1,3.25,1,0
3.75,3.8,1.9,1,2
1.36,5.25,7.5,3,1
4.33,4,1.75,2,0
2.37,3.75,2.75,0,2
1.53,4.33,6,2,1
2.1,3.75,3.3,1,0
3.5,3.9,1.95,1,1
1.33,5.25,9,0,2
2.3,3.4,3.1,2,1
1.7,3.75,5,1,0
1.83,3.6,4.33,1,1
1.33,5.25,9,4,1
3.4,3.75,2.05,0,4
8.5,5,1.36,3,2
1.75,3.9,4.33,2,0
3.6,3.4,2.05,1,2
1.95,3.6,3.8,1,1
1.95,3.8,3.6,3,0
5,4,1.66,2,2
4,3.9,1.83,1,2
4.33,3.75,1.8,0,2
2.87,3.75,2.3,1,2
1.25,5.75,12,1,0
1.16,7.5,16,2,0
3.6,3.6,1.95,1,1
1.75,3.8,4.33,1,2
5,3.8,1.66,0,3
3.3,3.5,2.1,1,0
3,3.4,2.3,2,1
1.25,6.5,10,2,1
2.5,3.4,2.75,1,1
1.9,3.75,3.8,4,0
2.55,3.6,2.62,2,0
1.2,6.5,13,2,0
1.95,3.4,4,1,0
4.1,3.9,1.8,1,1
1.28,5.5,11,3,0
1.85,3.8,4,1,0
1.6,4,5.5,1,2
1.33,5.25,8.5,4,0
1.44,4.5,7.5,1,1
4.5,4.33,1.66,0,1
2.6,3.3,2.7,0,3
13,8.5,1.16,1,6
3.25,3.5,2.2,0,0
1.83,3.6,4.33,1,1
1.66,4,5,1,1
1.1,11,19,2,2
2.2,3.5,3.25,1,0
2.4,3.4,3,2,3
2.9,3.5,2.37,1,1
6,4.5,1.5,1,0
4.33,3.75,1.83,2,1
1.36,5.25,8,2,0
2.8,3.5,2.45,2,1
2.87,3.4,2.45,3,1
2.7,3.25,2.7,0,2
1.55,4.1,6,2,2
7,5,1.4,0,1
1.72,3.9,4.5,2,2
1.53,4.33,6,4,1
1.4,5,7.5,2,1
1.36,4.75,9,0,2
5.75,3.8,1.61,1,2
8.5,5.5,1.33,0,2
2.5,3.6,2.7,2,2
2.1,3.6,3.3,2,1
3.1,3.1,2.5,0,1
1.25,6,12,4,0
2.2,3.4,3.3,0,0
2.75,3.3,2.62,2,3
2.6,3.3,2.75,3,3
2.25,3.25,3.4,0,0
3.6,3.6,2,0,0
5.5,4.6,1.53,2,0
1.61,3.8,6,3,1
2.1,3.4,3.6,1,1
1.66,3.6,5.75,2,1
2.5,3.3,2.87,0,0
1.75,3.8,4.75,1,2
11,6.25,1.25,0,1
4,3.8,1.85,2,3
1.4,4.75,8,4,0
1.85,3.5,4.5,0,2
1.12,9.5,17,2,0
1.72,4,4.5,2,1
2.1,3.3,3.7,3,0
1.95,3.4,4.2,1,0
1.95,3.4,4.2,1,1
1.61,4.33,5,2,0
4.5,4.2,1.7,0,1
1.6,3.9,6,3,0
1.5,4.2,7,3,0
2,3.6,3.7,3,2
1.16,8,15,3,2
4.33,4.1,1.72,1,0
2.05,3.25,3.9,0,1
4.75,3.8,1.72,2,2
2.62,3.1,2.9,0,0
2.65,3.6,2.5,3,1
8,4.75,1.4,3,0
2.5,3.25,2.9,1,1
2.45,3.2,3,2,3
1.22,6.5,13,2,1
1.57,4.4,5.5,1,0
2.55,3.2,2.9,1,0
1.65,3.75,5.75,1,0
1.61,4.1,5.25,0,1
1.61,3.9,5.75,0,0
2.7,3.3,2.62,1,1
1.8,3.9,4.2,4,0
5,4.33,1.6,2,0
1.36,5.25,8,4,0
3.2,3.4,2.25,0,0
1.36,5.25,7.5,3,0
2.8,3.5,2.45,0,3
3,3.4,2.37,1,1
3.6,3.5,2.05,1,1
3.1,3.25,2.37,2,1
3.6,3.4,2.1,0,2
2.45,3.2,3,0,2
3.3,3.1,2.37,3,0
6,4.5,1.5,1,2
6,4.2,1.55,0,0
1.12,9,15,5,0
1.6,4,5.75,0,0
1.66,4,5,2,0
1.4,4.5,8.5,3,0
2.3,3.3,3.2,1,1
3.9,3.6,1.9,0,1
1.55,4,6,1,0
1.22,6.5,13,4,0
3,3.25,2.45,1,0
2.6,3.5,2.62,0,2
4,4,1.8,2,1
4.6,3.7,1.75,0,1
2.5,3.3,2.87,1,3
2.25,3.2,3.4,0,1
6,3.8,1.61,0,3
1.44,4.75,7,4,0
2.4,3.1,3.2,1,4
2.5,3.3,2.9,2,1
5.5,4.33,1.57,3,2
4.2,3.4,1.95,3,1
2.05,3.9,3.3,4,0
3.3,3.4,2.2,0,1
1.66,3.6,5.75,3,0
1.16,7.5,17,5,2
2.25,3.4,3.25,0,2
1.4,4.75,8,3,0
2.9,3,2.7,1,1
2.6,3.3,2.75,2,2
1.33,5.5,8.5,2,0
8.5,6,1.3,1,0
2.1,3.5,3.4,1,0
8.5,4.5,1.4,2,3
1.7,3.75,5,2,1
2.3,3.5,3,1,1
1.12,9,21,5,0
3.8,3.2,2.1,1,0
2,3.4,3.9,0,1
6,4.33,1.53,1,3
5.25,3.8,1.66,0,0
2.05,3.5,3.6,1,1
9,5.25,1.33,0,3
3.75,3.75,1.95,0,4
1.8,3.6,4.5,2,1
1.22,6.5,12,1,1
6,3.8,1.6,3,0
10,5.5,1.28,0,5
2.05,3.3,3.8,3,0
2.25,3.3,3.3,2,0
2.62,3.4,2.7,2,1
5.25,3.8,1.66,4,1
1.3,5.5,10,2,2
1.12,9.5,17,1,0
4.5,3.3,1.9,1,1
1.14,8.5,17,2,1
4.6,3.8,1.75,1,3
3.8,3.8,1.9,2,1
2,3.5,3.75,1,1
2.05,3.25,3.9,2,0
9.5,4.75,1.36,0,2
2.15,3.3,3.5,1,1
2.4,3,3.3,3,1
3.2,3.4,2.25,0,2
2.4,3.6,2.8,0,2
2.25,3.3,3.25,3,0
1.9,3.4,4.33,0,0
2.2,3.25,3.5,0,1
1.5,4,7.5,2,0
8.5,5.5,1.33,0,4
3.3,3.6,2.1,1,0
1.22,6.5,11,1,1
2,3.75,3.5,5,3
1.9,3.8,3.8,3,2
2.37,3.4,3,1,2
1.85,3.8,4,2,0
6,4.2,1.55,1,1
2.25,3.7,3,1,3
3.25,3.5,2.2,0,2
1.08,11,26,5,0
7.5,5.25,1.36,1,3
2.15,3.5,3.3,3,1
3,3.6,2.3,1,1
1.57,3.9,7.5,2,1
1.9,3.6,4.5,2,0
2.5,3.4,3,0,2
6.5,4,1.61,0,3
3.9,3.5,2.04,1,2
2.37,3.2,3.4,2,0
2.37,3.3,3.3,2,2
4,3.8,1.95,0,2
1.25,6.5,14,4,0
1.85,3.5,5,0,0
3.25,3.1,2.54,0,0
1.8,4,4.5,3,2
1.9,3.5,4.75,2,1
2.04,3.5,3.9,2,0
1.28,6,12,3,1
2.1,3.6,3.7,1,2
5.5,3.6,1.75,3,2
2.45,3.1,3.4,1,3
1.1,13,26,6,1
7,5,1.44,0,2
1.36,5.5,9,3,1
2.62,3.6,2.75,2,2
2.37,3,3.7,0,0
1.16,8.5,19,1,0
2.45,3.2,3.25,1,2
11,6.5,1.28,1,1
2,3.4,4.33,4,2
5.75,4,1.66,1,2
2.6,3.25,3,2,1
2.62,3.3,2.9,0,3
2.3,3.4,3.4,2,2
1.3,6,11,2,0
2,3.5,4.2,0,2
1.53,4.2,7.5,1,1
7.5,5,1.44,1,2
1.11,11,26,2,1
2.6,3.4,2.87,0,1
6,3.75,1.7,0,2
6.5,4.33,1.57,2,3
5.5,4.2,1.64,2,1
2.45,3.5,3,4,2
1.18,8,19,4,1
3.3,3.1,2.5,0,1
1.12,10,26,3,0
4.2,3.8,1.9,1,2
3,3.6,2.4,1,2
4.33,3.6,1.95,1,2
2,3.75,3.9,1,3
1.75,3.6,5.75,1,0
2.1,3.4,3.9,2,2
5,4,1.75,1,2
3,3.4,2.5,4,0
23,8,1.16,0,5
2.14,3.4,3.75,0,0
2.54,3.5,2.9,1,1
1.61,4,6.5,3,1
1.2,7.5,17,3,0
1.57,4.33,6.5,1,1
1.44,5,7.5,2,0
6,4.5,1.57,0,0
1.44,5.1,7,2,0
2.8,3.6,2.54,1,1
1.75,4.2,4.75,3,0
8.5,4.5,1.44,0,2
1.1,12,34,2,0
2.6,3.3,3,0,2
4.5,3.8,1.85,3,1
1.8,3.6,5.25,2,0
2.62,3,3.2,1,2
2.25,3.5,3.4,2,1
2.7,3.3,2.87,1,0
2.14,3.1,4.2,1,1
3,3.2,2.62,0,1
2.2,3.4,3.6,1,2
1.44,4.5,9,3,2
1.22,7,15,1,0
2.14,3.6,3.5,0,4
5.25,4.33,1.66,1,5
2.54,3.6,2.8,0,0
6,4.1,1.61,0,3
2.04,3.7,3.75,0,0
2.5,3.5,2.95,4,2
1.75,3.8,5.25,2,2
11,5.5,1.33,0,1
1.08,13,34,5,0
2.2,3.25,3.8,0,1
4.1,3.9,1.9,0,1
1.75,3.75,5.25,0,2
1.85,3.6,4.75,2,0
1.53,4.5,6.5,3,1
3.2,3.2,2.5,1,0
2.9,3.75,2.4,0,3
2.1,3.5,3.8,1,1
1.11,11,26,4,1
2.1,3.4,3.9,0,0
1.75,3.75,5.25,3,0
11,5,1.36,0,4
4.75,4.1,1.75,2,2
1.72,3.9,5.25,2,1
4.75,4.1,1.75,0,1
3.9,3.9,1.95,1,1
3.6,3.7,2.1,1,2
3.8,3.4,2.14,0,1
1.61,4,6.5,3,1
2.75,3.25,2.8,1,0
1.75,3.75,5.25,4,2
3.1,3.4,2.45,2,3
1.25,6.75,13,3,1
1.11,11,29,6,1
2.3,3.5,3.3,1,0
2.6,3.1,3.1,2,1
4.5,3.75,1.85,0,1
3.4,3.25,2.35,1,1
1.5,4.33,8,0,0
2.9,3.4,2.6,2,1
2.5,3.3,3.1,1,1
1.66,4.2,5.25,1,1
1.4,5.25,8.5,0,0
1.11,11,26,2,0
1.4,5.25,8.5,3,1
2.9,3.4,2.6,1,1
1.4,5,9,1,0
2.62,3.5,2.8,3,2
1.4,5.25,8,0,0
2.8,3.5,2.6,3,1
6.5,4.33,1.55,0,3
13,6.5,1.25,0,4
3.5,3.75,1.95,1,2
1.5,4.33,8,0,2
2.9,3.2,2.75,1,2
3.8,3.25,2.2,2,1
1.61,3.9,6.5,2,0
2.5,3,3.4,1,2
2.25,3.3,3.6,2,0
1.11,11,26,3,1
2.5,3.3,3.1,0,3
4.33,3.6,1.95,2,2
2.62,3.6,2.75,4,2
1.18,8,17,2,0
1.4,5,9,1,0
1.66,3.8,6,2,1
3,3.1,2.7,3,1
11,6,1.3,1,2
1.66,4,5.75,3,1
14,5.75,1.28,1,3
1.6,4,6.5,1,1
3,3.5,2.45,1,1
2.45,3.5,3,2,2
1.36,5.25,9.5,3,1
5,3.75,1.8,2,1
1.28,6,12,1,0
5.75,4.5,1.6,0,4
2.9,3.2,2.75,1,0
2.9,3.25,2.7,1,0
4,3.8,1.95,2,0
3.8,3.75,2,0,2
1.33,5.75,10,4,1
2.3,3.4,3.4,3,2
2.9,3.2,2.7,1,2
1.8,3.75,5,2,2
2.62,3.2,3,1,0
2.9,3.6,2.5,0,2
2.6,3.1,3.1,0,1
1.22,7.5,13,3,1
1.18,8,19,1,0
1.64,3.9,6,3,2
1.95,3.6,4.33,2,0
7.5,4.5,1.5,1,2
1.57,4.5,6,3,1
4.1,3.9,1.9,3,2
7,4,1.57,0,2
1.25,6.5,15,3,1
1.9,3.7,4.33,2,0
6.5,4.2,1.57,1,5
1.33,5.5,11,0,1
3.1,3.1,2.6,1,3
1.14,10,21,2,3
2,3.6,4,0,0
2.37,3.5,3.1,0,2
3.25,3.5,2.3,2,6
5.25,3.9,1.72,1,1
4.33,3.5,1.95,1,5
1.66,4,5.75,0,0
3.25,3.4,2.37,1,1
9.5,5.25,1.36,2,1
1.16,8.5,19,4,0
1.25,6.5,15,3,1
1.36,5.5,9,5,0
5.25,3.8,1.75,1,2
2.3,3.5,3.3,1,2
3.25,3.4,2.14,1,0
2,3.4,3.75,1,0
1.55,4,6,0,1
1.5,4.5,5.75,5,1
1.33,5,8.5,1,3
1.85,3.6,4,1,1
3.3,3.2,2.25,2,0
4.75,4,1.66,0,1
1.33,4.75,10,4,1
10,5.25,1.3,1,3
1.33,5.75,9.5,4,1
7.5,4.5,1.5,0,3
2,3.5,4.2,0,1
2.6,3.6,2.75,3,3
